,Context,Code,Occupation
468,82,11-3071.02,Storage and Distribution Managers
469,82,43-2011.00,"Switchboard Operators, Including Answering Service"
470,82,15-1143.01,Telecommunications Engineering Specialists
471,82,49-9052.00,Telecommunications Line Installers and Repairers
472,82,23-2093.00,"Title Examiners, Abstractors, and Searchers"
473,82,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
474,82,19-1023.00,Zoologists and Wildlife Biologists
475,81,25-1042.00,"Biological Science Teachers, Postsecondary"
476,81,19-1020.01,Biologists
477,81,47-2011.00,Boilermakers
478,81,25-2023.00,"Career/Technical Education Teachers, Middle School"
479,81,19-4061.01,City and Regional Planning Aides
480,81,11-3111.00,Compensation and Benefits Managers
481,81,17-2061.00,Computer Hardware Engineers
482,81,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
483,81,29-2051.00,Dietetic Technicians
484,81,49-9051.00,Electrical Power-Line Installers and Repairers
485,81,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
486,81,17-2199.03,Energy Engineers
487,81,47-2043.00,Floor Sanders and Finishers
488,81,19-4041.01,Geophysical Data Technicians
489,81,29-2011.03,Histotechnologists and Histologic Technicians
490,81,11-3121.00,Human Resources Managers
491,81,51-8099.04,Hydroelectric Plant Technicians
492,81,19-2043.00,Hydrologists
493,81,33-3021.06,Intelligence Analysts
494,81,43-4111.00,"Interviewers, Except Eligibility and Loan"
495,81,13-2072.00,Loan Officers
496,81,17-3029.06,Manufacturing Engineering Technologists
497,81,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
498,81,29-2099.01,Neurodiagnostic Technologists
499,81,39-9021.00,Personal Care Aides
500,81,31-1013.00,Psychiatric Aides
501,81,49-9021.02,Refrigeration Mechanics and Installers
502,81,41-9031.00,Sales Engineers
503,81,33-9032.00,Security Guards
504,81,25-1113.00,"Social Work Teachers, Postsecondary"
505,81,17-1022.00,Surveyors
506,81,27-2012.04,Talent Directors
507,81,37-3013.00,Tree Trimmers and Pruners
508,80,19-4011.01,Agricultural Technicians
509,80,11-9013.03,Aquacultural Managers
510,80,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
511,80,17-2199.01,Biochemical Engineers
512,80,51-8099.03,Biomass Plant Technicians
513,80,43-5011.00,Cargo and Freight Agents
514,80,53-2012.00,Commercial Pilots
515,80,21-1094.00,Community Health Workers
516,80,15-1131.00,Computer Programmers
517,80,39-6012.00,Concierges
518,80,13-1051.00,Cost Estimators
519,80,13-1199.03,Customs Brokers
520,80,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
521,80,51-2023.00,Electromechanical Equipment Assemblers
522,80,51-2031.00,Engine and Other Machine Assemblers
523,80,25-9021.00,Farm and Home Management Advisors
524,80,45-4011.00,Forest and Conservation Workers
525,80,11-9061.00,Funeral Service Managers
526,80,27-1024.00,Graphic Designers
527,80,19-3093.00,Historians
528,80,31-1011.00,Home Health Aides
529,80,49-9041.00,Industrial Machinery Mechanics
530,80,15-1122.00,Information Security Analysts
531,80,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
532,80,23-1011.00,Lawyers
533,80,43-6012.00,Legal Secretaries
534,80,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
535,80,19-2032.00,Materials Scientists
536,80,17-2141.00,Mechanical Engineers
537,80,29-2012.00,Medical and Clinical Laboratory Technicians
538,80,29-2071.00,Medical Records and Health Information Technicians
539,80,51-4051.00,Metal-Refining Furnace Operators and Tenders
540,80,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
541,80,29-1125.02,Music Therapists
542,80,15-1142.00,Network and Computer Systems Administrators
543,80,47-2141.00,"Painters, Construction and Maintenance"
544,80,17-2111.03,Product Safety Engineers
545,80,21-1015.00,Rehabilitation Counselors
546,80,47-2171.00,Reinforcing Iron and Rebar Workers
547,80,49-9097.00,Signal and Track Switch Repairers
548,80,21-1093.00,Social and Human Service Assistants
549,80,15-1199.03,Web Administrators
550,80,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
551,79,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
552,79,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
553,79,13-2021.01,Assessors
554,79,25-2032.00,"Career/Technical Education Teachers, Secondary School"
555,79,43-4031.01,Court Clerks
556,79,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
557,79,45-2092.02,"Farmworkers and Laborers, Crop"
558,79,17-2111.02,Fire-Prevention and Protection Engineers
559,79,17-1022.01,Geodetic Surveyors
560,79,49-9099.01,Geothermal Technicians
561,79,25-1191.00,Graduate Teaching Assistants
