,8.02,12.07,Unnamed: 2,Advertise your product or brand here
266,957.92,961.38,Xander,"when all of a sudden the cops pull up,"
267,957.92,961.38,Xander,and they arrested us both.
268,961.67,964.55,Xander,"Wow, they should film that story"
269,961.67,964.55,Xander,and show it every Christmas.
270,965.42,969.84,Faith,"God, I could eat a horse! Isn't it crazy how"
271,965.42,969.84,Faith,slayin' always makes you hungry and horny?
272,973.56,977.89,Buffy,"Well, sometimes I crave"
273,973.56,977.89,Buffy,a nonfat yoghurt afterwards.
274,979.19,981.02,Cordelia,I get it!
275,981.69,984.94,Cordelia,Not the horny thing  yuck 
276,981.69,984.94,Cordelia,but the twoslayer thing.
277,986.07,988.28,Cordelia,"There was one,"
278,986.07,988.28,Cordelia,"then Buffy died for two minutes,"
279,988.57,992.41,Cordelia,"so then Kendra was called,"
280,988.57,992.41,Cordelia,and when she died Faith was called.
281,992.95,994.54,Willow,But why were you called here?
282,994.83,998.67,Faith,I wasn't. My watcher went off to some
283,994.83,998.67,Faith,"retreat thing in England, so I skipped out."
284,999.21,1000.96,Faith,I figured this was my chance to meet
285,1000.96,1002.71,Buffy,the infamous Buff and compare notes.
286,1003.59,1006.67,Buffy,"So, B, did you really use"
287,1003.59,1006.67,Buffy,a rocket launcher one time?
288,1007.34,1009.18,Buffy,"Yeah. Actually, it's a funny story..."
289,1009.22,1010.88,Xander,So what was that alligator story?
290,1010.88,1012.18,Buffy,You said something before?
291,1012.97,1016.56,Faith,There's this big daddy vampire out
292,1012.97,1016.56,Faith,in Missouri who used to keep 'em as pets.
293,1017.35,1019.13,Faith,So he's got me rasslin' one of 'em 
294,1019.13,1020.56,Xander,it must've been 12ft long...
295,1021.1,1023.82,Xander,"So, was this also naked?"
296,1024.23,1026.36,Faith,"Well, the alligator was."
297,1026.74,1029.24,Cordelia,Xander? Find a new theme.
298,1030.49,1033.16,Faith,"I tell ya, I never had more trouble"
299,1030.49,1033.16,Faith,than that damn vamp.
300,1033.62,1036.54,Faith,So what about you?
301,1033.62,1036.54,Faith,What was your toughest kill?
302,1044.25,1046.42,Buffy,"Well, they're all difficult, I guess."
303,1048.63,1051.13,Buffy,"Oh, do you guys remember the Three?"
304,1051.76,1054.26,Buffy,"Right, you never met the Three."
305,1051.76,1054.26,Buffy,"Well, there was..."
306,1054.89,1058.22,Oz,"Something occurring. You both kill vamps,"
307,1054.89,1058.22,Oz,"and who could blame you,"
308,1058.64,1061.35,Oz,but I'm wondering about
309,1058.64,1061.35,Oz,your position on werewolves.
310,1061.77,1063.09,Willow,Oz is a werewolf.
311,1063.09,1064.48,Buffy,It's a long story.
312,1065.52,1066.32,Oz,I got bit.
313,1066.32,1068.32,Buffy,Apparently not that long.
314,1069.28,1073.41,Faith,"Hey, as long as you don't go scratchin' at me"
315,1069.28,1073.41,Faith,"or humpin' my leg, we're five by five, y'know?"
316,1073.66,1074.62,Oz,Fair enough.
317,1074.91,1077.99,Faith,"The vamps, though,"
318,1074.91,1077.99,Faith,better get their asses to DEFCON 1.
319,1078.66,1082.0,Faith,"Cos you and I are gonna have fun,"
320,1078.66,1082.0,Faith,watcherless and fancyfree.
321,1083.04,1083.9,Buffy,Watcherless?
322,1083.9,1086.21,Faith,"Didn't yours go to England, too?"
323,1086.92,1090.67,Giles,There is a watchers' retreat every year
324,1086.92,1090.67,Giles,in the Cotswolds.
325,1091.93,1094.3,Giles,It's a lovely spot. It's very serene.
326,1095.68,1101.02,Giles,"There's horse riding and hiking and punting,"
327,1095.68,1101.02,Giles,and lectures and discussions...
328,1101.94,1104.56,Faith,It's a great honour to be invited.
329,1106.31,1107.94,Faith,Or so I'm told.
330,1108.19,1111.11,Faith,"Ah, it's boring."
331,1108.19,1111.11,Faith,Way too stuffy for a guy like you.
332,1111.95,1115.32,Buffy,Maybe I should introduce you again.
333,1111.95,1115.32,Buffy,"Faith, this is Giles."
334,1115.7,1119.12,Faith,"If I'd known they came that young and cute,"
335,1115.7,1119.12,Faith,I'd have requested a transfer.
336,1119.45,1121.71,Buffy,"Raise your hand if ""eww""."
337,1122.58,1126.79,Buffy,"Well, leaving aside for a moment"
338,1122.58,1126.79,Buffy,"my youth and beauty,"
339,1126.96,1128.85,Buffy,I'd say it was fortuitous
340,1128.85,1131.26,Giles,that Faith arrived when she did.
341,1133.84,1135.8,Willow,Sorry. I just meant...
342,1137.6,1139.22,Giles,There's a big evil brewin'.
343,1139.47,1143.85,Giles,"You'll never be bored here, Faith, cos this"
344,1139.47,1143.85,Giles,"is Sunnydale, home of the big brewin' evil."
345,1145.1,1146.98,Giles,"I don't know how big and evil it is,"
346,1146.98,1151.23,Giles,but two people have disappeared
347,1146.98,1151.23,Giles,from the Sunset Ridge district.
348,1153.24,1158.03,Buffy,"Well, I'm good for patrolling. Latish, though."
349,1153.24,1158.03,Buffy,I promised Mom I'd be home for dinner.
350,1162.0,1165.33,Buffy,"To which you're invited, of course."
351,1162.0,1165.33,Buffy,Dinner with us.
352,1166.37,1168.25,Faith,Dyin' to meet the fam. I'm in.
353,1168.25,1172.09,Buffy,Great. Then we can patrol.
354,1168.25,1172.09,Buffy,Also together.
355,1172.63,1174.43,Willow,Don't you have a health science makeup?
356,1174.43,1176.09,Buffy,"Oh, yeah. I could use some coaching."
357,1179.02,1179.8,Willow,You can hang out with us while
358,1179.02,1179.8,Willow,she's testing. You wanna?
359,1180.14,1182.18,Xander,"Say yes, and bring your stories."
360,1182.64,1186.31,Buffy,You guys go. It's fine. Fine. I'll just sit.
361,1187.02,1189.61,Faith,"OK. Hey, later. We will talk weapons."
362,1193.28,1196.86,Giles,This new girl seems to have a lot of zest.
363,1199.53,1203.41,Giles,I've been having a little problem
364,1199.53,1203.41,Giles,with the binding spell for Acathla.
365,1203.91,1207.21,Giles,I'm lacking the requisite details
366,1203.91,1207.21,Giles,to perform it correctly.
367,1207.67,1210.59,Giles,Now physical location...
368,1207.67,1210.59,Giles,Acathla was facing south?
369,1212.67,1215.47,Buffy,"Acathla, Angel, me, sword."
370,1217.05,1218.59,Giles,"That's what I thought, but..."
371,1218.93,1222.93,Buffy,"Giles, look, I've got makeup tests to pass,"
