,﻿musketeer,n. a foot soldier armed with a musket
160,farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
161,demagogue,n. a political leader who seeks support by appealing to popular passions and prejudices
162,myopic,"a unable to see distant objects clearly
s lacking foresight or scope"
163,shareholder,n someone who holds shares of stock in a corporation
164,counting-house,n. office used by the accountants of a business
165,loon,"n. a worthless lazy fellow
n. large somewhat primitive fish-eating diving bird of the northern hemisphere having webbed feet placed far back; related to the grebes"
166,chokecherry,"n. the fruit of the chokecherry tree
n. a common wild cherry of eastern North America having small bitter black berries favored by birds"
167,patois,n. a regional dialect of a language (especially French); usually considered substandard
168,obscenities,pl.  of Obscenity
169,reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
170,tuberculosis,n. infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)
171,contagious,s. easily diffused or spread as from one person to another
172,cameo,n. engraving or carving in low relief on a stone (as in a brooch or ring)
173,filigree,"n. delicate and intricate ornamentation (usually in gold or silver or other fine twisted wire)
v. make filigree, as with a precious metal"
174,raspberry,"n. woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
n. red or black edible aggregate berries usually smaller than the related blackberries"
175,moose,n large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
176,antler,n. deciduous horn of a member of the deer family
177,coyote,"n. small wolf native to western North America
n. someone who smuggles illegal immigrants into the United States (usually across the Mexican border)
n. a forest fire fighter who is sent to battle remote and severe forest fires (often for days at a time)"
178,ululate,v emit long loud cries
179,aeon,"n (Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe
n the longest division of geological time
n an immeasurably long period of time"
180,chipmunk,n. a burrowing ground squirrel of western America and Asia; has cheek pouches and a light and dark stripe running down the body
181,pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
182,chrome,"n. another word for chromium when it is used in dyes or pigments
v. plate with chromium
v. treat with a chromium compound"
183,carmine,v. color carmine
184,perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
185,motley,"n. a garment made of motley (especially a court jester's costume)
n. a multicolored woolen fabric woven of mixed threads in 14th to 17th century England
v. make motley; color with different colors
s. having sections or patches colored differently and usually brightly"
186,alabaster,"n. a compact fine-textured, usually white gypsum used for carving
n. a hard compact kind of calcite
n. a very light white"
187,skirmish,v. engage in a skirmish
188,rung,n. a crosspiece between the legs of a chair
189,lukewarm,s. moderately warm
190,paradox,n. (logic) a statement that contradicts itself
191,paranoia,n. a psychological disorder characterized by delusions of persecution or grandeur
192,pimp,n. someone who procures customers for whores (in England they call a pimp a ponce)
193,perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
194,preconception,n. an opinion formed beforehand without adequate evidence
195,corny,s dull and tiresome but with pretensions of significance or originality
196,sojourn,"n. a temporary stay (e.g., as a guest)
v. spend a certain length of time; reside temporarily"
197,incorrigible,a. impervious to correction by punishment
198,efface,v. make inconspicuous
199,sustenance,n. the act of sustaining life by food or providing a means of subsistence
200,inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
201,wed,s. having been taken in marriage
202,property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
203,bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
204,nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
205,pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
206,fungi,"n. the taxonomic kingdom including yeast, molds, smuts, mushrooms, and toadstools; distinct from the green plants"
207,organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
208,physicochemical,a. relating to physical chemistry
209,cybernetics,n. (biology) the field of science concerned with processes of communication and control (especially the comparison of these processes in biological and artificial systems)
210,helmsman,n. the person who steers a ship
211,compass,"n. navigational instrument for finding directions
n. the limit of capability
n. drafting instrument used for drawing circles
v. bring about; accomplish"
212,rudder,"n. a hinged vertical airfoil mounted at the tail of an aircraft and used to make horizontal course changes
n. (nautical) steering mechanism consisting of a hinged vertical plate mounted at the stern of a vessel"
213,alga,n. primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
214,oscillation,"n. the process of oscillating between states
n. (physics) a regular periodic variation in value about a mean"
215,lynx,"n. a text browser
n. short-tailed wildcats with usually tufted ears; valued for their fur"
216,photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
217,aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
218,metabolism,n. the organic processes (in a cell or organism) that are necessary for life
219,alfalfa,"n. important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop
n. leguminous plant grown for hay or forage"
220,perturbation,"n. (physics) a secondary influence on a system that causes it to deviate slightly
n. activity that is a malfunction, intrusion, or interruption
n. a disposition that is confused or nervous and upset"
221,excrete,v. eliminate from the body
222,carbon dioxide,none
223,incinerator,n. a furnace for incinerating (especially to dispose of refuse)
224,technologist,n a person who uses scientific knowledge to solve practical problems
225,predecessor,n. one who precedes you in time (as in holding a position or office)
226,x-irradiation,none
227,mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
228,albeit,conj. Even though; although; notwithstanding.
229,viability,"n. (of living things) capable of normal growth and development
n. capable of being done in a practical and useful way"
230,compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
231,variant,"s. differing from a norm or standard
s. exhibiting variation and change"
232,synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
233,carcinogenic,a. causing or tending to cause cancer
234,enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
235,detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
236,insecticide,n. a chemical used to kill insects
237,herbicide,n. a chemical agent that destroys plants or inhibits their growth
238,potentate,n a ruler who is unconstrained by law
239,enmeshed,s. caught as if in a mesh
240,condone,"v excuse, overlook, or make allowances for; be lenient with"
241,elucidate,"v make clear and (more) comprehensible
v make free from confusion or ambiguity; make clear"
242,miasma,"n. an unwholesome atmosphere
n. unhealthy vapors rising from the ground or other sources"
243,mansion,n. a large and imposing house
244,subprime,none
245,parable,n. (New Testament) any of the stories told by Jesus to convey his religious message
246,implausible,a. having a quality that provokes disbelief
247,porte-cochère,none
248,hyperventilate,"v. produce hyperventilation in
v. breathe excessively hard and fast"
249,bust,"n. a sculpture of the head and shoulders of a person
n. an occasion for excessive eating or drinking"
250,mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
251,predicament,n. a situation from which extrication is difficult especially an unpleasant or trying one
252,foreclosure,n. the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default
253,mendacious,"s. given to lying
s. intentionally untrue"
254,chandelier,n. branched lighting fixture; often ornate; hangs from the ceiling
255,tortellini,n. small ring-shaped stuffed pasta
256,thermostat,"n. a regulator for automatically regulating temperature by starting or stopping the supply of heat
v. control the temperature with a thermostat"
257,microclimate,none
258,fossil fuel,none
259,curtailment,n. the temporal property of being cut short
260,biofuel,none
261,ethanol,n the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline
262,switchgrass,none
263,prodigal,n. a recklessly extravagant consumer
264,claustrophobia,n. a morbid fear of being closed in a confined space
265,credo,n any system of principles or beliefs
266,autistic,s. characteristic of or affected with autism
267,homeopathy,"n. a method of treating disease with small amounts of remedies that, in large amounts in healthy people, produce symptoms similar to those being treated"
268,etymologically,none
269,circumlocution,"n. a style that involves indirect ways of expressing things
n. an indirect way of expressing something"
270,recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
271,veterinarian,n. a doctor who practices veterinary medicine
272,predatory,s. living by preying on other animals especially by catching living prey
273,salutary,s tending to promote physical well-being; beneficial to health
274,inducement,n. act of bringing about a desired result
275,omniscient,s infinitely wise
276,omnipotent,s having unlimited power
277,premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
278,methodology,"n. the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
n. the system of methods followed in a particular discipline"
279,gravity,"n. (physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface
n. a solemn and dignified feeling"
280,genome,n. the ordering of genes in a haploid set of chromosomes of a particular organism; the full DNA sequence of an organism
281,thermodynamics,n. the branch of physics concerned with the conversion of different forms of energy
282,mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
283,corollary,"n. a practical consequence that follows naturally
n. (logic) an inference that follows directly from the proof of another proposition"
284,streamlining,v contour economically or efficiently
285,cylinder,"n. a solid bounded by a cylindrical surface and two parallel planes (the bases)
n. a surface generated by rotating a parallel line around a fixed line
n. a chamber within which piston moves
n. a cylindrical container for oxygen or compressed air"
286,carburetor,n. mixes air with gasoline vapor prior to explosion
287,transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
288,plasticity,n the property of being physically malleable; the property of something that can be worked or hammered or shaped without breaking
289,molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
290,galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
291,artifact,n. a man-made object taken as a whole
292,skepticism,"n doubt about the truth of something
n the disbelief in any claims of ultimate knowledge"
293,particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
294,cannibalism,n. the practice of eating the flesh of your own kind
295,collage,"n. a paste-up made by sticking together pieces of paper or photographs to form an artistic image
n. any collection of diverse things"
296,virtuosity,n. technical skill or fluency or style exhibited by a virtuoso
297,etch,"v. make an etching of
v. cause to stand out or be clearly defined or visible
v. selectively dissolve the surface of (a semiconductor or printed circuit) with a solvent, laser, or stream of electrons"
298,truss,"n. (medicine) a bandage consisting of a pad and belt; worn to hold a hernia in place by pressure
n. a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure
v. tie the wings and legs of a bird before cooking it"
299,geodesic dome,none
300,vault,"n. a burial chamber (usually underground)
n. a strongroom or compartment (often made of steel) for safekeeping of valuables
n. an arched brick or stone ceiling or roof
n. the act of jumping over an obstacle"
301,terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
302,trailer,"n. a large transport conveyance designed to be pulled by a truck or tractor
n. a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy"
303,magnetic tape,none
