,1,abandoned,negative,en,Unnamed: 4,Unnamed: 5,Unnamed: 6
425,427,insane,negative,en,,,
426,428,insecure,negative,en,,,
427,429,insidious,negative,en,,,
428,430,insignificant,negative,en,,,
429,431,insincere,negative,en,,,
430,432,insipid,negative,en,,,
431,433,insufficient,negative,en,,,
432,434,insulted,negative,en,,,
433,435,intense,negative,en,,,
434,436,interrogated,negative,en,,,
435,437,interrupted,negative,en,,,
436,438,intimidated,negative,en,,,
437,439,intoxicated,negative,en,,,
438,440,invalidated,negative,en,,,
439,441,invisible,negative,en,,,
440,442,irrational,negative,en,,,
441,443,irritable,negative,en,,,
442,444,irritated,negative,en,,,
443,445,isolated,negative,en,,,
444,446,jaded,negative,en,,,
445,447,jealous,negative,en,,,
446,448,jerked around,negative,en,,,
447,449,joyless,negative,en,,,
448,450,judged,negative,en,,,
449,451,junky,negative,en,,,
450,452,kept apart,negative,en,,,
451,453,kept away,negative,en,,,
452,454,kept in,negative,en,,,
453,455,kept out,negative,en,,,
454,456,kept quiet,negative,en,,,
455,457,labeled,negative,en,,,
456,458,laughable,negative,en,,,
457,459,laughed at,negative,en,,,
458,460,lazy,negative,en,,,
459,461,leaned on,negative,en,,,
460,462,lectured to,negative,en,,,
461,463,left out,negative,en,,,
462,464,let down,negative,en,,,
463,465,lied about,negative,en,,,
464,466,lied to,negative,en,,,
465,467,limited,negative,en,,,
466,468,little,negative,en,,,
467,469,lonely,negative,en,,,
468,470,lonesome,negative,en,,,
469,471,longing,negative,en,,,
470,472,lose,negative,en,,,
471,473,lost,negative,en,,,
472,474,lousy,negative,en,,,
473,475,loveless,negative,en,,,
474,476,low,negative,en,,,
475,477,lumpy,negative,en,,,
476,478,mad,negative,en,,,
477,479,made fun of,negative,en,,,
478,480,malicious,negative,en,,,
479,481,man handled,negative,en,,,
480,482,manipulated,negative,en,,,
481,483,masochistic,negative,en,,,
482,484,mean,negative,en,,,
483,485,menacing,negative,en,,,
484,486,messed up,negative,en,,,
485,487,messed with,negative,en,,,
486,488,messy,negative,en,,,
487,489,miffed,negative,en,,,
488,490,miserable,negative,en,,,
489,491,misled,negative,en,,,
490,492,misshapen,negative,en,,,
491,493,missing,negative,en,,,
492,494,mistaken,negative,en,,,
493,495,mistrusted,negative,en,,,
494,496,misunderstood,negative,en,,,
495,497,mixed-up,negative,en,,,
