,keyword,dbpedia_score
1007,cesium,0.0
1008,pearl_spot,0.6666666667
1009,tha,1.0
1010,ipl,0.6666666667
1011,indian_rhino,0.7
1012,goi,0.0
1013,hcf,0.0
1014,exhibit,1.0
1015,jainism,0.6666666667
1016,rowlatt,0.2
1017,harvest_season,1.0
1018,tree_diagram,0.0
1019,social_movement,0.75
1020,hong,1.0
1021,call_in,1.0
1022,nail_polish,1.0
1023,deuterium,0.0
1024,mali,0.7142857143
1025,pelvic_bone,0.0
1026,check_dam,1.0
1027,common_krait,0.5
1028,majoritarian,1.0
1029,samnyasa,0.6
1030,lous,0.0
1031,rashtrapati_bhavan,1.0
1032,talia,0.1666666667
1033,lobia,0.4
1034,niagara,0.2
1035,start_point,0.0
1036,sez,0.75
1037,crispi,0.3076923077
1038,provision,0.0
1039,panchtantra,0.9
1040,tecton,0.0
1041,jersey,0.375
1042,vest,0.8
1043,welsh,0.6
1044,singapor,0.6842105263
1045,marina,0.4285714286
1046,casuarina,0.2
1047,casuarina_tree,0.5
1048,chatter,1.0
1049,bharat_petroleum,0.5
1050,bengal_gram,0.5
1051,pride,0.2
1052,akashwani,0.8333333333
1053,rowlatt_act,0.75
1054,air_craft,0.0
1055,abu,0.0
1056,say,0.2222222222
1057,spaceship,0.6666666667
1058,sikh,0.6
1059,lodz,0.25
1060,wilhelm_ostwald,0.3333333333
1061,subscript,1.0
1062,chitpavan,0.0
1063,dosa,0.4545454545
1064,nose,0.6666666667
1065,turban,0.7
1066,river_nile,0.0909090909
1067,robert_darwin,0.5714285714
1068,anger,0.8
1069,conch,0.6666666667
1070,gaddi,1.0
1071,antedon,0.0
1072,dholak,0.1
1073,fateh,0.7
1074,darwaza,1.0
1075,plateau_region,0.3333333333
1076,digboi,0.0
1077,hong_xiuquan,0.2857142857
1078,billion,1.0
1079,tawa_dam,0.25
1080,malabar_coast,0.6666666667
1081,van_mahotsav,1.0
1082,bard,0.8823529412
1083,sardeshmukhi,1.0
1084,indian_peninsula,0.6666666667
1085,hypha,0.0
1086,pond_ecosystem,0.6
1087,thailand,0.4285714286
1088,samburu,1.0
1089,petrol_pump,0.0
1090,petunia,0.75
1091,royal_bengal_tiger,0.625
1092,intercellular_matrix,0.0
1093,tidal_wave,0.7
1094,legal_right,0.9
1095,acid_test,0.75
1096,indiana,0.6666666667
1097,moss,0.0
1098,ottoman_turkey,0.8
1099,lackington,0.25
1100,abscissa,0.3333333333
1101,qatar,0.6666666667
1102,voltair,1.0
1103,cartwheel,1.0
1104,genu,0.0
1105,transoxiana,0.5
1106,ave,0.0
1107,world_record,1.0
1108,brick_wall,1.0
1109,virchow,0.6111111111
1110,psilocybin,0.3333333333
1111,sauc,0.0
1112,moonless_night,1.0
1113,defin,1.0
1114,raq,0.3333333333
1115,palashi,0.6666666667
1116,sand_paper,0.0
1117,legend,1.0
1118,meghaduta,0.5
1119,ber,1.0
1120,catla,0.6666666667
1121,minicoy,0.5
1122,winnipeg,0.0
1123,cough,0.25
1124,shaukat_ali,1.0
1125,kalaazar,0.0
1126,chi,1.0
1127,squid,0.6666666667
1128,orissa,0.6666666667
1129,hindawi,1.0
1130,ayumi,0.25
1131,sardar_vallabhbhai_patel,0.6666666667
1132,merino,0.25
1133,merino_sheep,0.25
1134,mosaic,0.9090909091
1135,daulat,1.0
1136,british_kenya,1.0
1137,exil,0.0
1138,venu,0.5
1139,michael_henchard,0.2857142857
1140,singh_sabha,1.0
1141,bin,1.0
1142,charter,0.8
1143,special_camp,1.0
